Date,PriceUSD
2020-10-08,1906.94198653435
2020-10-09,1945.49394334526
2020-10-10,1938.04845618379
2020-10-11,1944.01368602532
2020-10-12,1928.44147787409
2020-10-13,1907.04268699156
2020-10-14,1912.16903291927
2020-10-15,1916.18488664042
2020-10-16,1909.2275017081
2020-10-17,1910.25390999416
2020-10-18,1909.79043881791
2020-10-19,1909.00369354698
2020-10-20,1917.67673243084
2020-10-21,1931.3532744246
2020-10-22,1912.03525051428
2020-10-23,1917.8261976729
2020-10-24,1924.90845969875
2020-10-25,1919.0563106121
2020-10-26,1913.43239992829
2020-10-27,1911.76018827897
2020-10-28,1891.05881120134
2020-10-29,1871.9761793944
2020-10-30,1890.63253976902
2020-10-31,1882.92209744419
2020-11-01,1883.43120455874
2020-11-02,1915.44792653531
2020-11-03,1922.4246087719216
2020-11-04,1917.7061185266807
2020-11-05,1965.7035506116272
2020-11-06,1957.6475520514489
2020-11-07,1965.315802689097
2020-11-08,1965.8976120085717
2020-11-09,1881.2288714758645
2020-11-10,1883.2122794322613
2020-11-11,1873.7726028932357
2020-11-12,1894.5762386212434
2020-11-13,1906.3554077532028
2020-11-14,1896.4110551531837
2020-11-15,1895.2280727810612
2020-11-16,1896.7260572073278
2020-11-17,1892.9037931034482
2020-11-18,1880.9540848723373
2020-11-19,1872.6821288462597
2020-11-20,1885.6222155311923
2020-11-21,1895.7227184618196
2020-11-22,1880.657017727132
2020-11-23,1848.8002965902028
2020-11-24,1824.0852113328679
2020-11-25,1816.9506286866824
2020-11-26,1822.563199095948
2020-11-27,1802.8
2020-11-28,1802.3877178928763
2020-11-29,1795.8604238772607
2020-11-30,1790.546831565456
2020-12-01,1826.9135605003676
2020-12-02,1836.742248084065
2020-12-03,1849.2313169656165
2020-12-04,1845.1975519419002
2020-12-05,1847.6680204236936
2020-12-06,1846.1489722857123
2020-12-07,1878.1711885727145
2020-12-08,1875.9358013000967
2020-12-09,1849.7203161305242
2020-12-10,1840.7416175846342
2020-12-11,1846.59297823265
2020-12-12,1843.95842003313
2020-12-13,1844.52863933319
2020-12-14,1837.09285718887
2020-12-15,1856.8269345412
2020-12-16,1874.44461865757
2020-12-17,1908.47723093215
2020-12-18,1900.51546248629
2020-12-19,1896.05371770894
2020-12-20,1898.59831385155
2020-12-21,1894.71013809891
2020-12-22,1876.23890648743
2020-12-23,1883.8363220339
2020-12-24,1898.15915893887
2020-12-25,1903.58698889538
2020-12-26,1917.95941163333
2020-12-27,1927.7494346812
2020-12-28,1906.01640752515
2020-12-29,1902.06953575309
2020-12-30,1916.12415144297
2020-12-31,1935.02614637879
2021-01-01,1937.79211522808
2021-01-02,1973.00397121601
2021-01-03,1976.56845119813
2021-01-04,2003.05541634399
2021-01-05,2018.77915098325
